address,buurt,bouwjaar,grondoppervlakte,oppervlakte,woz_2014,woz_2015,woz_2016,woz_2017,woz_2018,woz_2019,woz_2020,woz_2021,woz_2022,woz_2023
Bilderdijkstraat 00033,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1904,0,45,122000.0,122000.0,146000.0,146000.0,160000.0,261000.0,278000.0,309000.0,365000.0,355000
Bilderdijkstraat 33-BS,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1904,0,85,184000.0,185000.0,189000.0,222000.0,231000.0,304000.0,333000.0,391000.0,438000.0,429000
Cremerplein 00033,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1954,0,37,112000.0,111000.0,114000.0,126000.0,145000.0,159000.0,175000.0,201000.0,215000.0,225000
Hasebroekstraat 00033,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1936,0,98,173000.0,174000.0,219000.0,239000.0,267000.0,293000.0,329000.0,422000.0,466000.0,445000
Hasebroekstraat 33-BS,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1936,0,94,220000.0,221000.0,253000.0,272000.0,336000.0,353000.0,388000.0,587000.0,589000.0,557000
Heijermansstraat 00033,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1935,91,96,248000.0,248000.0,329000.0,343000.0,378000.0,391000.0,431000.0,486000.0,595000.0,553000
Kneppelhoutstraat 00033,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1935,88,129,319000.0,320000.0,361000.0,396000.0,448000.0,510000.0,551000.0,597000.0,585000.0,651000
Majellapark 00033,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1946,114,119,301000.0,302000.0,380000.0,410000.0,429000.0,467000.0,520000.0,565000.0,634000.0,660000
Potgieterstraat 00033,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,89,89,195000.0,195000.0,225000.0,289000.0,334000.0,362000.0,403000.0,421000.0,462000.0,490000
Bilderdijkstraat 34-BS,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1919,0,95,221000.0,222000.0,254000.0,273000.0,336000.0,353000.0,361000.0,425000.0,516000.0,468000
Cremerplein 00034,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1954,0,37,112000.0,111000.0,114000.0,126000.0,145000.0,159000.0,175000.0,201000.0,215000.0,225000
Cremerstraat 00034,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1904,84,90,200000.0,200000.0,230000.0,254000.0,330000.0,340000.0,371000.0,402000.0,454000.0,505000
Hasebroekstraat 00034,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1935,130,100,256000.0,257000.0,324000.0,366000.0,376000.0,472000.0,509000.0,537000.0,665000.0,636000
Jaffastraat 00034,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1951,0,66,136000.0,135000.0,149000.0,180000.0,205000.0,222000.0,244000.0,245000.0,306000.0,306000
Majellapark 00034,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1930,114,132,218000.0,214000.0,,220000.0,468000.0,505000.0,563000.0,613000.0,713000.0,708000
Potgieterstraat 00034,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1919,0,110,281000.0,282000.0,303000.0,318000.0,402000.0,444000.0,492000.0,534000.0,560000.0,531000
Potgieterstraat 34-BS,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1919,0,110,221000.0,222000.0,239000.0,280000.0,355000.0,374000.0,407000.0,376000.0,417000.0,411000
Bilderdijkstraat 35-BS,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1904,0,80,144000.0,145000.0,159000.0,189000.0,204000.0,228000.0,248000.0,298000.0,350000.0,360000
Cremerplein 00035,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1954,0,37,112000.0,111000.0,114000.0,126000.0,145000.0,159000.0,175000.0,201000.0,215000.0,225000
Hasebroekstraat 00035,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1938,0,70,159000.0,160000.0,194000.0,254000.0,286000.0,313000.0,305000.0,336000.0,406000.0,372000
Hasebroekstraat 35-BS,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1938,0,88,177000.0,178000.0,228000.0,253000.0,305000.0,323000.0,346000.0,376000.0,415000.0,424000
Heijermansstraat 00035,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1935,90,100,256000.0,257000.0,340000.0,356000.0,394000.0,407000.0,448000.0,506000.0,606000.0,563000
Kneppelhoutstraat 00035,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1935,73,129,306000.0,307000.0,322000.0,378000.0,429000.0,491000.0,533000.0,579000.0,554000.0,619000
