address,bouwjaar,grondoppervlakte,oppervlakte,woz_2014,woz_2015,woz_2016,woz_2017,woz_2018,woz_2019,woz_2020,woz_2021,woz_2022,woz_2023
Waalstraat 00042,1981,97.0,111,216000.0,218000.0,224000.0,276000.0,305000.0,341000.0,387000.0,467000.0,483000.0,508000.0
Westravenstraat 00042,1996,130.0,117,240000.0,240000.0,265000.0,280000.0,387000.0,437000.0,461000.0,500000.0,550000.0,554000.0
Wielingenplein 00042,1935,162.0,123,273000.0,274000.0,382000.0,460000.0,506000.0,523000.0,462000.0,559000.0,700000.0,726000.0
Amstelstraat 0042A,1999,0.0,72,162000.0,161000.0,163000.0,181000.0,210000.0,229000.0,250000.0,277000.0,361000.0,355000.0
Jutfaseweg 0042A,1904,0.0,42,143000.0,142000.0,156000.0,176000.0,177000.0,189000.0,207000.0,238000.0,287000.0,310000.0
Maasstraat 0042A,1999,0.0,92,183000.0,186000.0,195000.0,222000.0,258000.0,280000.0,301000.0,312000.0,408000.0,387000.0
Jutfaseweg 0042B,1904,0.0,42,143000.0,142000.0,157000.0,177000.0,181000.0,193000.0,211000.0,242000.0,291000.0,314000.0
Jutfaseweg 0042C,1904,0.0,36,127000.0,126000.0,128000.0,145000.0,147000.0,155000.0,172000.0,199000.0,246000.0,287000.0
Jutfaseweg 0042D,1904,0.0,53,169000.0,167000.0,194000.0,221000.0,223000.0,238000.0,261000.0,299000.0,322000.0,323000.0
Jutfaseweg 0042E,1904,0.0,48,158000.0,157000.0,177000.0,193000.0,207000.0,216000.0,231000.0,278000.0,299000.0,349000.0
Jutfaseweg 0042G,1904,0.0,49,160000.0,159000.0,180000.0,204000.0,206000.0,220000.0,241000.0,277000.0,310000.0,335000.0
Jutfaseweg 0042H,1904,35.0,51,165000.0,164000.0,169000.0,213000.0,215000.0,229000.0,251000.0,288000.0,316000.0,311000.0
Jutfaseweg 0042J,1904,0.0,51,150000.0,149000.0,179000.0,205000.0,207000.0,218000.0,243000.0,281000.0,293000.0,311000.0
Jutfaseweg 0042K,1904,0.0,52,167000.0,165000.0,190000.0,217000.0,219000.0,233000.0,256000.0,294000.0,319000.0,317000.0
Jutfaseweg 0042L,1904,0.0,59,181000.0,179000.0,213000.0,245000.0,248000.0,264000.0,290000.0,333000.0,340000.0,356000.0
Jutfaseweg 0042M,1904,0.0,31,112000.0,111000.0,117000.0,130000.0,131000.0,134000.0,176000.0,171000.0,228000.0,266000.0
Amaliadwarsstraat 00043,1996,0.0,91,205000.0,203000.0,222000.0,243000.0,281000.0,335000.0,366000.0,376000.0,420000.0,402000.0
Amaliastraat 00043,1904,73.0,117,277000.0,278000.0,324000.0,410000.0,447000.0,544000.0,553000.0,622000.0,615000.0,559000.0
Amerhof 00043,1979,0.0,51,132000.0,134000.0,136000.0,145000.0,167000.0,178000.0,194000.0,224000.0,286000.0,276000.0
Amstelstraat 00043,1999,0.0,100,226000.0,227000.0,210000.0,230000.0,254000.0,293000.0,322000.0,380000.0,517000.0,507000.0
