regio,gm_naam,gwb_code,a_inw,bev_dich,p_wcorpw,g_ele,g_gas,g_ink_po,g_ink_pi,p_hh_hi,a_soz_ww,pst_mvp,pst_dekp,ste_oad,woz_2023,woz_2024,woz_2025,woz_2026,act_woz_incr,pred_change_25,pred_change_26
Voordorp en Voorveldsepolder,Utrecht,BU03440423,5125.0,2851.0,12.0,2192.5925925925926,666.0404905880214,54.3,42.29999999999999,34.3,33.662456850053644,3573.0,1,1920.0,532.0,540.0,545,546,119.51,0.93,0.18
"Huizingalaan, K. Doormanlaan en omgeving",Utrecht,BU03440431,1210.0,6215.0,18.0,2212.222222222222,695.0100209244486,49.500000000000014,43.20000000000001,24.353733736265426,4.065073258686002,3572.0,1,3520.0,448.0,433.0,435,441,75.3,0.46,1.38
"Zeeheldenbuurt, Hengeveldstraat en omgeving",Utrecht,BU03440432,3320.0,12733.0,26.0,2392.5925925925926,882.1038142013332,56.3,49.19999999999999,23.8,29.382716049382715,3572.0,1,4356.0,668.0,643.0,629,612,85.84,-2.18,-2.7
Wittevrouwen,Utrecht,BU03440433,6730.0,18158.0,12.0,2095.061728395062,812.6875017605107,52.00000000000001,46.1,25.0,58.888888888888886,3572.0,1,5360.0,555.0,547.0,544,542,96.06,-0.55,-0.37
Buiten Wittevrouwen,Utrecht,BU03440511,4785.0,10246.0,18.0,2276.7552069998887,1110.742613894021,48.4,44.500000000000014,17.8,-17.195670529028856,3581.0,2,5454.0,610.0,582.0,566,541,71.18,-2.75,-4.42
Oudwijk,Utrecht,BU03440512,4990.0,13213.0,15.0,2003.9506172839504,924.4885098149906,52.1,45.99999999999999,24.2,39.01234567901235,3581.0,1,4907.0,567.0,541.0,536,526,78.55,-0.92,-1.87
Abstede,Utrecht,BU03440521,2115.0,10594.0,33.0,2114.6913580246915,853.6252457423648,47.60000000000001,40.80000000000001,20.3,19.382716049382715,3582.0,1,4917.0,566.0,549.0,545,544,103.33,-0.73,-0.18
Tolsteegsingel,Utrecht,BU03440522,900.0,9507.0,82.0,2132.4691358024693,625.6168606424926,31.699999999999992,24.0,7.049215351869481,9.629629629629632,3582.0,1,5215.0,379.0,390.0,376,370,102.07,-3.59,-1.6
Rubenslaan en omgeving,Utrecht,BU03440523,3620.0,10018.0,51.0,2007.6680978789989,484.2774928137475,26.1,27.0,5.5,38.579019308125176,3582.0,2,3705.0,299.0,289.0,285,279,37.62,-1.38,-2.11
Watervogelbuurt,Utrecht,BU03440524,2300.0,8679.0,21.0,1835.880817256392,347.87515608205194,49.99999999999999,44.00000000000001,22.899999999999995,19.50617283950617,3582.0,1,5028.0,433.0,417.0,413,410,93.06,-0.96,-0.73
L. Napoleonplantsoen en omgeving,Utrecht,BU03440525,1005.0,4189.0,58.0,1705.8024691358023,320.26197595327653,42.2,36.0,13.527342956184071,-0.1631378529931524,3582.0,1,3463.0,369.0,365.0,367,367,101.66,0.55,0.0
Maarschalkerweerd en Mereveld,Utrecht,BU03440526,195.0,83.0,0.0,3733.8246615500248,1663.218733603805,45.100000000000016,35.900000000000006,27.037432150328865,-12.958369248946044,3585.0,1,891.0,791.0,801.0,820,897,68.28,2.37,9.39
Schildersbuurt,Utrecht,BU03440531,3555.0,11413.0,27.0,2003.9506172839504,818.4887199031511,58.3,50.1,25.7,19.25925925925926,3583.0,1,2944.0,600.0,572.0,555,530,83.33,-2.97,-4.5
Wilhelminapark en omgeving,Utrecht,BU03440532,2635.0,5365.0,5.0,3071.7283950617284,1570.4002331996362,78.49999999999999,57.7,45.24706153805792,19.62962962962963,3583.0,3,3529.0,1101.0,1045.0,1048,1048,57.38,0.29,0.0
De Uithof,Utrecht,BU03440533,3305.0,909.0,76.0,1726.2962962962963,352.1961379113693,13.200000000000005,12.2,0.533333333333335,32.100811428908806,3584.0,1,583.0,230.0,206.0,211,211,-16.94,2.43,0.0
Rijnsweerd,Utrecht,BU03440534,3025.0,1977.0,5.0,2687.2829150695275,992.0395719120096,47.1,44.69999999999999,26.223837983782,9.629629629629632,3584.0,2,1491.0,693.0,692.0,697,708,63.59,0.72,1.58
"Domplein, Neude, Janskerkhof",Utrecht,BU03440611,2530.0,10322.0,7.000000000000002,2172.962962962963,703.3861717920589,43.2,41.29999999999999,13.9,1.6802743146217909,3512.0,2,6370.0,566.0,566.0,552,556,78.55,-2.47,0.72
"Lange Elisabethstraat, Mariaplaats en omgeving",Utrecht,BU03440612,1725.0,10381.0,9.0,1925.6673636622247,783.1387681211704,50.1,47.900000000000006,15.968283230577264,-9.744092783697052,3511.0,1,6002.0,582.0,585.0,573,559,107.45,-2.05,-2.44
Hoog-Catharijne NS en Jaarbeurs,Utrecht,BU03440613,2355.0,2284.0,2.0,1656.6666666666667,67.77777777777783,65.5,59.19999999999999,38.91932834695304,47.33761641511469,3511.0,5,5225.0,400.0,401.0,391,378,78.22,-2.49,-3.32
Wijk C,Utrecht,BU03440621,1390.0,9817.0,40.0,1839.465918838333,574.22711747832,41.39999999999999,39.7,8.8,19.753086419753085,3511.0,1,6460.0,454.0,451.0,452,462,105.94,0.22,2.21
Breedstraat en Plompetorengracht en omgeving,Utrecht,BU03440622,2735.0,16292.0,23.0,2024.4896509876423,810.9263542459914,47.899999999999984,37.9,12.6,29.50617283950617,3512.0,2,6553.0,526.0,530.0,536,534,97.76,1.13,-0.37
Nobelstraat en omgeving,Utrecht,BU03440623,1005.0,11278.0,44.0,1830.816192856464,781.9583216790967,50.7,47.2,9.4,3.218007055440033,3512.0,1,6055.999999999999,461.0,471.0,469,476,105.68,-0.42,1.49
Springweg en omgeving Geertebuurt,Utrecht,BU03440624,1965.0,11305.0,18.0,2220.035381185184,896.1694297714497,49.1,46.40000000000002,16.400000000000002,19.50617283950617,3511.0,1,5549.0,571.0,570.0,571,573,95.88,0.18,0.35
Lange Nieuwstraat en omgeving,Utrecht,BU03440625,2690.0,12786.0,16.0,2191.211830583158,773.308846722938,47.2,44.99999999999999,18.2,16.65638721514174,3512.0,3,5617.0,582.0,591.0,584,587,84.69,-1.18,0.51
Nieuwegracht-Oost,Utrecht,BU03440626,1165.0,7925.0,12.0,2461.234191819708,953.2519314701208,59.8,55.000000000000014,30.176130638611284,1.0112292126548184,3512.0,1,5917.0,706.0,686.0,668,671,77.72,-2.62,0.45
