regio,gm_naam,gwb_code,a_inw,bev_dich,p_wcorpw,g_ele,g_gas,g_ink_po,g_ink_pi,p_hh_hi,a_soz_ww,pst_mvp,pst_dekp,ste_oad,woz_2023,woz_2024,woz_2025,woz_2026,act_woz_incr,pred_change_25,pred_change_26
Verspreide huizen Beusichem en Zoelmond,Buren,BU02140109,740.0,71.0,0.0,4167.011156447804,1763.5685683084705,54.60000000000001,47.80000000000001,43.61663731745144,-8.513515042004013,4112.0,2,311.0000000000001,551.0,589.0,625,659,40.24,6.11,5.44
Zoelen,Buren,BU02140200,1030.0,749.0,12.0,3295.466962767092,1308.158669411395,42.00000000000001,35.9,29.76358515191727,9.753086419753089,4011.0,1,141.0,449.0,476.0,502,531,56.58,5.46,5.78
Kerk Avezaath,Buren,BU02140201,1175.0,1326.0000000000002,16.0,3160.823850655336,1291.4284343563734,41.6,34.099999999999994,27.422269810881687,9.753086419753089,4012.0,1,194.0,405.0,410.0,433,457,52.42,5.61,5.54
De Woerd,Buren,BU02140202,140.0,576.0,0.0,3933.648764588432,1673.937912240804,46.23349186244008,38.22046685574062,33.95554539943086,0.0,4012.0,1,148.0,529.0,565.0,590,619,53.53,4.42,4.92
Verspreide huizen ten oosten van kanaal,Buren,BU02140206,165.0,40.0,0.0,3504.7443742309047,1690.711797255189,40.79999999999999,36.400000000000006,23.179402815752248,-12.406291096822176,4011.0,1,47.0,588.0,598.0,626,634,111.31,4.68,1.28
Verspreide huizen Zoelen,Buren,BU02140207,585.0,55.0,15.0,3678.961199810408,1289.4966806576228,50.4,37.1,38.51919187268355,-13.71094433252463,4011.0,1,122.0,441.0,469.0,491,516,55.81,4.69,5.09
Verspreide huizen Kapel Avezaath,Buren,BU02140209,200.0,48.0,0.0,3756.419834014194,1651.9442867633818,49.5,46.80000000000001,36.00968054186425,-14.971935646674307,4016.0,1,41.0,483.0,498.0,531,562,46.47,6.63,5.84
Lienden,Buren,BU02140300,3555.0,2392.0,32.0,2891.9753086419755,1042.5060531527895,36.70000000000001,29.4,19.9,19.135802469135804,4033.0,1,501.0,353.0,379.0,400,419,54.07,5.54,4.75
Ommeren met Den Eng,Buren,BU02140301,505.0,422.0,14.0,3660.987654320988,1520.0870060150492,44.1,38.3,29.004933239226137,-0.1234567901234555,4032.0,1,123.0,462.0,502.0,525,544,52.12,4.58,3.62
Ommerveld en verspreide huizen polder Meerten,Buren,BU02140305,300.0,82.0,0.0,4396.543209876543,1421.0257907202445,45.3,40.3,42.6,-11.142630974636138,4032.0,1,50.0,538.0,567.0,582,600,50.0,2.65,3.09
Verspreide huizen Aalst Leutes polder Aalst,Buren,BU02140306,1205.0,163.0,0.0,3938.1072224243335,1616.4540644833846,44.000000000000014,38.7,36.77402645389032,9.753086419753089,4033.0,1,119.0,468.0,512.0,551,593,69.54,7.62,7.62
Verspreide huizen De Mars en Marsdijk,Buren,BU02140307,305.0,50.0,0.0,3971.644994280623,1226.9135802469136,46.3,34.60000000000002,42.13029851048863,0.0,4033.0,1,149.0,509.0,553.0,585,617,35.21,5.79,5.47
Verspreide huizen Lienden,Buren,BU02140308,845.0,195.0,22.0,3185.1231205064187,1232.046135020983,41.59999999999998,35.19999999999999,26.34372981445332,-0.2469135802469146,4033.0,1,339.0,404.0,434.0,459,476,55.0,5.76,3.7
Ingen,Buren,BU02140400,1065.0,1422.0,30.0,2920.4938271604938,1110.7644369146087,36.99999999999999,29.7,22.709203333800524,-3.293806750453648,4031.0,1,211.0,375.0,407.0,429,451,58.98,5.41,5.13
Klinkenberg,Buren,BU02140402,310.0,693.0,17.0,3323.68908504624,1420.7673884755325,37.8,35.29999999999999,23.19051784410985,-12.350498532091674,4031.0,1,145.0,440.0,462.0,488,514,60.42,5.63,5.33
Verspreide huizen Klinkenberg,Buren,BU02140408,550.0,101.0,0.0,3748.833572216628,1584.6390923373417,47.09999999999998,38.79999999999999,30.149312450177376,-3.262158682791682,4031.0,1,151.9999999999999,532.0,560.0,586,616,53.01,4.64,5.12
Verspreide huizen Ommerenveld en Zwarte Paard,Buren,BU02140409,125.0,22.0,0.0,3988.271604938272,1716.2802374862313,35.400000000000006,33.29999999999999,27.658732677425,-16.06886169156662,4031.0,3,31.0,530.0,564.0,589,614,80.19,4.43,4.24
Maurik,Buren,BU02140500,3380.0,2559.0,34.0,2741.358024691358,1007.6795616191152,40.400000000000006,33.8,20.0,18.88888888888889,4021.0,1,555.0,351.0,377.0,399,417,58.4,5.84,4.51
Rijswijk,Buren,BU02140501,350.0,1157.0,35.0,2972.345679012345,1062.8395061728395,39.6,31.000000000000004,22.810345353451364,-13.531809518797813,4023.0,1,66.0,349.0,394.0,413,439,64.17,4.82,6.3
Eck en Wiel,Buren,BU02140502,925.0,2948.0,25.0,3052.716049382716,1261.3040484492533,37.69999999999999,31.1,18.5,-4.8046663436700605,4024.0,1,189.0000000000001,360.0,391.0,415,440,59.59,6.14,6.02
Ganzert,Buren,BU02140503,195.0,263.0,0.0,3344.6923972515074,1701.6189994026263,50.7,39.9,18.5,-15.845349163480396,4031.0,4,153.0,591.0,633.0,668,700,59.85,5.53,4.79
Verspreide huizen Rijswijk,Buren,BU02140507,195.0,50.0,0.0,3577.3823824717288,1583.6822649200976,43.6,39.3,18.5,-19.026916722446703,4023.0,2,42.0,488.0,529.0,554,582,43.75,4.73,5.05
Verspreide huizen Maurik,Buren,BU02140508,1620.0,118.0,14.0,3529.0123456790125,844.6913580246913,42.8,34.099999999999994,27.099999999999994,9.78705096847792,4021.0,1,348.0,449.0,478.0,507,541,28.15,6.07,6.71
Verspreide huizen Eck en Wiel,Buren,BU02140509,680.0,107.0,0.0,4144.444444444444,1769.7534729493132,47.40000000000002,43.90000000000002,34.59712291972014,-8.09436068356965,4024.0,2,144.0,534.0,564.0,592,621,58.43,4.96,4.9
Ravenswaaij,Buren,BU02140600,280.0,1502.0,13.0,2956.080304214773,878.7654320987655,55.90000000000002,46.30000000000001,34.201435237347404,-10.431748466133914,4119.0,1,60.0,389.0,436.0,465,494,57.4,6.65,6.24
Verspreide huizen Ravenswaaij,Buren,BU02140608,240.0,64.0,0.0,4398.474949568174,1823.750684135216,48.000000000000014,45.30000000000001,39.45479510067402,0.0,4119.0,5,59.0,614.0,642.0,662,686,50.35,3.12,3.63
Verspreide huizen poldergebied,Buren,BU02140609,130.0,19.0,0.0,3474.142582191747,540.0,48.000000000000014,38.30909629083212,37.01565296671444,0.0,4119.0,4,31.0,500.0,534.0,555,571,75.08,3.93,2.88
Centrum-Noord,Castricum,BU03830001,2380.0,5813.0,1.0,2431.851851851852,1013.7220538865828,47.60000000000001,39.7,24.3,0.9903540480473508,1901.0,1,2007.0,503.0,495.0,512,525,99.6,3.43,2.54
Centrum-Zuid,Castricum,BU03830011,2480.0,5160.0,21.0,2071.7283950617284,868.8586641687907,42.8,36.7,19.4,19.62962962962963,1901.0,1,2009.0,415.0,428.0,439,452,91.93,2.57,2.96
Oranjebuurt,Castricum,BU03830101,2990.0,5519.0,8.0,2462.83950617284,894.8145433259207,42.59999999999998,36.2,29.2,19.50617283950617,1901.0,1,2175.0,460.0,459.0,471,483,95.32,2.61,2.55
Kooiweg,Castricum,BU03830111,2550.0,3470.0,31.0,2081.851851851852,790.4268993393044,38.40000000000002,33.400000000000006,20.4,9.629629629629632,1901.0,1,1778.0,389.0,391.0,409,427,73.78,4.6,4.4
Molendijk,Castricum,BU03830201,3330.0,5965.0,5.999999999999998,2091.358024691358,640.3869111684846,45.2,37.99999999999999,23.9,29.62962962962963,1902.0,2,2254.0,418.0,412.0,425,437,93.43,3.16,2.82
Noord-End,Castricum,BU03830211,2265.0,2298.0,28.0,2507.901234567901,1090.290249661312,47.8465635678887,39.53359647238655,30.800000000000004,9.753086419753089,1902.0,1,1599.0,506.0,524.0,534,548,78.23,1.91,2.62
Albert's Hoeve,Castricum,BU03830221,2835.0,4191.0,33.0,2147.1604938271603,740.5427825010431,44.500000000000014,38.49999999999999,24.83587218306701,29.450930352527827,1902.0,1,1380.0,447.0,449.0,465,488,78.88,3.56,4.95
Beverwijkerstraatweg,Castricum,BU03830301,690.0,859.0,0.0,2944.885990904448,1002.9078433582384,35.20000000000001,28.40000000000002,27.511297954580648,-12.870802244510587,1901.0,1,938.0,438.0,439.0,464,484,61.4,5.69,4.31
Bakkum-Noord,Castricum,BU03830401,525.0,127.0,4.0,3793.9243269888,1686.6930692098135,44.15651212963091,37.49999999999999,28.92429593118977,-8.87839601808042,1901.0,1,303.0,679.0,707.0,740,804,75.87,4.67,8.65
Bakkum-Zuid,Castricum,BU03830411,2145.0,2476.0,32.0,2452.716049382716,990.5005561180382,49.20000000000001,39.80000000000001,28.5,8.930058983192499,1901.0,1,1165.0,516.0,529.0,541,562,96.65,2.27,3.88
Duin en Bosch,Castricum,BU03830421,1045.0,1266.0,15.0,3166.8234820555504,919.53125,75.70000000000003,57.91187485922627,52.70521395461408,-7.389966144195643,1901.0,1,581.0,1011.0,978.0,1051,1064,837.27,7.46,1.24
Akersloot Oost,Castricum,BU03830501,1680.0,820.0,9.0,2899.0123456790125,1131.521336718994,44.50000000000001,39.8,30.37148358194673,7.68163653772568,1921.0,1,544.0,505.0,516.0,534,550,69.74,3.49,3.0
Akersloot West,Castricum,BU03830511,3405.0,632.0,15.0,2571.111111111112,1032.1323682270622,43.900000000000006,36.29999999999999,24.9,19.62962962962963,1921.0,1,526.9999999999999,426.0,427.0,440,455,80.17,3.04,3.41
De Woude,Castricum,BU03830601,150.0,61.0,0.0,3670.8913469291647,1529.9770426202542,46.7,42.1,24.9,0.0,1489.0,2,32.0,637.0,646.0,652,653,62.31,0.93,0.15
Limmen West,Castricum,BU03830701,3050.0,1097.0,7.000000000000002,3041.827097743336,1166.5187711790188,51.500000000000014,40.6,34.754765322875784,9.629629629629632,1906.0,1,797.0,547.0,570.0,593,627,83.87,4.04,5.73
Limmen Centrum,Castricum,BU03830711,2585.0,4950.0,13.0,2628.1481481481483,984.9607240379884,44.49999999999999,38.80000000000001,37.9,9.629629629629632,1906.0,1,943.0,483.0,497.0,515,537,69.05,3.62,4.27
